x,Curve1
19.5997,-3.3883
19.7314,-3.2725
19.9044,-3.1452
20.1414,-2.9223
20.3483,-2.7515
20.4912,-2.6531
20.6116,-2.5836
20.7131,-2.5402
20.8034,-2.5171
20.9388,-2.4736
21.0291,-2.465
21.1269,-2.4823
21.2134,-2.5055
21.2849,-2.5489
21.3564,-2.5981
21.4354,-2.6965
21.5746,-2.9136
21.71,-3.1278
21.8341,-3.3275
21.9921,-3.6025
22.1614,-3.8688
22.2554,-4.0657
22.3269,-4.1699
22.3683,-4.2596
22.4209,-4.4767
22.5112,-4.7951
22.5751,-4.9977
22.6504,-5.319
22.7294,-5.649
22.7896,-5.9558
22.8686,-6.3119
